Winner,wins_r,losses_r,draws_r,height_cm_r,weight_in_kg_r,reach_in_cm_r,stance_r,significant_strikes_landed_per_minute_r,significant_striking_accuracy_r,significant_strikes_absorbed_per_minute_r,significant_strike_defence_r,average_takedowns_landed_per_15_minutes_r,takedown_accuracy_r,takedown_defense_r,average_submissions_attempted_per_15_minutes_r,wins_b,losses_b,draws_b,height_cm_b,weight_in_kg_b,reach_in_cm_b,stance_b,significant_strikes_landed_per_minute_b,significant_striking_accuracy_b,significant_strikes_absorbed_per_minute_b,significant_strike_defence_b,average_takedowns_landed_per_15_minutes_b,takedown_accuracy_b,takedown_defense_b,average_submissions_attempted_per_15_minutes_b
1,20,4,0,182.88,77.11,193.04,Switch,4.36,52.0,2.74,54.0,2.82,45.0,89.0,0.1,28,5,0,185.42,83.91,193.04,Orthodox,5.82,41.0,4.24,63.0,0.92,64.0,84.0,0.2
1,22,3,0,180.34,106.59,182.88,Orthodox,4.25,52.0,2.92,54.0,1.83,44.0,80.0,0.4,22,6,0,187.96,92.99,198.12,Orthodox,3.25,47.0,1.83,60.0,2.43,57.0,77.0,0.6
1,47,19,0,193.04,120.2,203.2,Orthodox,3.67,64.0,2.44,57.0,1.42,55.0,73.0,0.8,13,14,1,177.8,120.2,182.88,Orthodox,2.81,43.0,2.9,51.0,0.51,55.0,64.0,0.2
0,24,4,0,172.72,61.23,172.72,Orthodox,3.91,33.0,2.61,70.0,2.82,42.0,83.0,0.1,13,5,0,172.72,61.23,165.1,Orthodox,3.0,40.0,3.89,61.0,1.13,34.0,78.0,0.0
1,25,7,0,180.34,65.77,175.26,Orthodox,7.17,47.0,4.75,59.0,0.27,53.0,84.0,0.3,24,10,0,177.8,70.31,182.88,Orthodox,3.05,47.0,3.44,54.0,0.61,50.0,60.0,1.1
1,27,3,1,160.02,56.7,167.64,Orthodox,3.43,54.0,1.66,67.0,3.35,56.0,65.0,0.5,20,13,1,170.18,56.7,167.64,Southpaw,3.41,44.0,2.67,56.0,3.73,47.0,59.0,1.0
1,28,8,0,162.56,56.7,165.1,Southpaw,3.52,34.0,2.67,61.0,1.41,30.0,62.0,0.6,16,3,0,162.56,61.23,162.56,Orthodox,3.93,47.0,3.15,60.0,2.07,34.0,83.0,0.2
0,15,7,0,180.34,83.91,182.88,Orthodox,3.25,48.0,4.21,50.0,1.35,50.0,80.0,0.9,20,4,0,182.88,77.11,193.04,Switch,4.36,52.0,2.74,54.0,2.82,45.0,89.0,0.1
1,29,0,0,177.8,70.31,177.8,Orthodox,4.1,48.0,1.75,65.0,5.32,48.0,84.0,0.8,22,19,0,177.8,70.31,185.42,Southpaw,4.28,39.0,3.91,58.0,0.46,38.0,80.0,0.1
1,23,11,1,167.64,61.23,172.72,Orthodox,3.77,40.0,2.82,65.0,2.29,31.0,65.0,0.3,28,19,0,175.26,65.77,180.34,Orthodox,3.17,40.0,3.05,58.0,1.16,38.0,65.0,0.4
0,29,6,0,175.26,70.31,175.26,Orthodox,4.32,41.0,4.39,55.0,2.92,36.0,92.0,0.5,22,6,0,175.26,70.31,187.96,Southpaw,5.32,49.0,4.66,54.0,0.67,55.0,66.0,0.1
1,30,9,0,185.42,83.91,190.5,Orthodox,4.33,38.0,2.71,65.0,1.05,43.0,63.0,0.3,32,15,0,180.34,83.91,187.96,Orthodox,2.44,47.0,2.7,51.0,1.52,52.0,57.0,0.3
1,20,4,0,193.04,108.86,203.2,Orthodox,4.82,53.0,3.82,54.0,1.86,34.0,68.0,0.0,47,19,0,193.04,120.2,203.2,Orthodox,3.67,64.0,2.44,57.0,1.42,55.0,73.0,0.8
0,22,13,0,182.88,77.11,193.04,Southpaw,4.57,45.0,3.77,52.0,1.05,30.0,41.0,1.3,22,6,0,175.26,70.31,187.96,Southpaw,5.32,49.0,4.66,54.0,0.67,55.0,66.0,0.1
1,20,4,0,182.88,77.11,193.04,Switch,4.36,52.0,2.74,54.0,2.82,45.0,89.0,0.1,24,10,1,190.5,70.31,187.96,Southpaw,1.74,47.0,2.41,58.0,1.66,35.0,72.0,0.1
1,31,8,0,170.18,61.23,177.8,Orthodox,3.57,46.0,3.74,60.0,0.49,54.0,91.0,0.1,23,11,1,167.64,61.23,172.72,Orthodox,3.77,40.0,2.82,65.0,2.29,31.0,65.0,0.3
1,22,3,0,180.34,106.59,182.88,Orthodox,4.25,52.0,2.92,54.0,1.83,44.0,80.0,0.4,34,11,0,187.96,83.91,195.58,Southpaw,3.05,61.0,2.05,60.0,0.5,77.0,69.0,0.8
0,16,6,0,190.5,83.91,195.58,Southpaw,4.1,49.0,2.68,53.0,0.7,29.0,65.0,1.0,30,9,0,185.42,83.91,190.5,Orthodox,4.33,38.0,2.71,65.0,1.05,43.0,63.0,0.3
1,25,7,0,180.34,65.77,175.26,Orthodox,7.17,47.0,4.75,59.0,0.27,53.0,84.0,0.3,20,8,0,172.72,65.77,180.34,Orthodox,3.13,47.0,2.87,57.0,1.84,33.0,46.0,0.9
1,32,15,0,180.34,83.91,187.96,Orthodox,2.44,47.0,2.7,51.0,1.52,52.0,57.0,0.3,34,10,1,175.26,83.91,180.34,Southpaw,3.02,46.0,3.35,53.0,1.69,48.0,77.0,0.5
1,24,4,0,172.72,61.23,172.72,Orthodox,3.91,33.0,2.61,70.0,2.82,42.0,83.0,0.1,35,11,0,167.64,61.23,170.18,Orthodox,2.65,40.0,2.59,64.0,1.54,30.0,58.0,0.8
0,24,9,1,193.04,104.78,195.58,Orthodox,3.59,52.0,2.64,55.0,1.75,31.0,31.0,1.2,20,4,0,193.04,108.86,203.2,Orthodox,4.82,53.0,3.82,54.0,1.86,34.0,68.0,0.0
1,47,19,0,193.04,120.2,203.2,Orthodox,3.67,64.0,2.44,57.0,1.42,55.0,73.0,0.8,34,22,0,190.5,108.86,195.58,Orthodox,3.78,45.0,3.2,57.0,0.39,36.0,76.0,0.2
1,27,3,1,160.02,56.7,167.64,Orthodox,3.43,54.0,1.66,67.0,3.35,56.0,65.0,0.5,16,3,0,162.56,61.23,162.56,Orthodox,3.93,47.0,3.15,60.0,2.07,34.0,83.0,0.2
1,29,0,0,177.8,70.31,177.8,Orthodox,4.1,48.0,1.75,65.0,5.32,48.0,84.0,0.8,13,4,0,177.8,70.31,177.8,Southpaw,2.05,44.0,4.21,39.0,0.35,50.0,47.0,0.7
0,39,14,0,193.04,120.2,198.12,Orthodox,3.71,42.0,4.63,47.0,0.68,34.0,70.0,0.4,21,9,0,193.04,107.95,195.58,Orthodox,4.49,47.0,3.33,56.0,0.3,50.0,81.0,0.1
0,22,6,0,175.26,70.31,187.96,Southpaw,5.32,49.0,4.66,54.0,0.67,55.0,66.0,0.1,22,13,0,182.88,77.11,193.04,Southpaw,4.57,45.0,3.77,52.0,1.05,30.0,41.0,1.3
0,34,11,0,187.96,83.91,195.58,Southpaw,3.05,61.0,2.05,60.0,0.5,77.0,69.0,0.8,30,9,0,185.42,83.91,190.5,Orthodox,4.33,38.0,2.71,65.0,1.05,43.0,63.0,0.3
0,18,5,0,167.64,61.23,170.18,Orthodox,5.09,41.0,3.47,62.0,1.56,30.0,77.0,0.8,24,4,0,172.72,61.23,172.72,Orthodox,3.91,33.0,2.61,70.0,2.82,42.0,83.0,0.1
1,20,4,0,193.04,108.86,203.2,Orthodox,4.82,53.0,3.82,54.0,1.86,34.0,68.0,0.0,34,22,0,190.5,108.86,195.58,Orthodox,3.78,45.0,3.2,57.0,0.39,36.0,76.0,0.2
0,21,9,0,193.04,107.95,195.58,Orthodox,4.49,47.0,3.33,56.0,0.3,50.0,81.0,0.1,47,19,0,193.04,120.2,203.2,Orthodox,3.67,64.0,2.44,57.0,1.42,55.0,73.0,0.8
